Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2021-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,BGD,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61000,1342000,569000,400000,651000,1160000,543000,531000,614000,946000,78000,4086000,
Bangladesh,BGD,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,,,,,,,,,,,,,4.14602545537688,2.59332903912398,4.12829469672912,4.96178538673189,3.6461715199041,1.8922054635587,1.0989010989011,0.676767368838216,1.33768682688535,1.12466039047198,0.932218837070021,0.241559230323275,1.13158120759254,0.653725635455355,0.790856217164842,0.603640416047548,1.09051760860641,0.506896982801377,0.41402985245626,1.05137606572077,1.17994419191127,1.10998569065095,0.795402047142799,0.525032336211944,0.454779678147143,0.641118127107521,0.538104439043544,0.345214337310158,0.374904628347365,0.317265909080962,0.38565704677917,0.383662762497922,0.329720890242299,0.395597447488386,0.371987010356391,0.525739503148084,0.910918674762169,0.823944234838616,0.723835447867468,1.00236184768174,1.04409056304302,1.03751400114779,0.973114633295447,1.03669484168506,0.842939796787655,0.918048511092284,1.16088696086596,1.19314765799333,
Bangladesh,BGD,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41360249497733,4.51045208464875,5.65777122609959,4.25760961399886,3.13536429364869,5.92730470816436,5.26214748189636,5.23619739514622,3.12492555997322,3.12492555997322,3.32823858738819,2.59196986451968,2.22044690858979,2.60681998524391,3.36331075208342,3.97902061210022,2.92849230459827,4.34079484062213,2.83351853323631,2.67197194096643,2.14484622004356,2.02555496926701,2.13006894278896,1.80088879232127,1.80088879232127,1.86967789554948,1.86967789554948,1.86967789554948,1.86967789554948,,
Bangladesh,BGD,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,,,,,,,,,,,,,,9.30349661617789,4.28949253402391,5.66895485748057,7.51629469744495,11.6104369471485,11.6772187714288,9.71540624383968,11.2477782544741,11.5374315919694,11.3509311633753,6.03820032473768,12.2798743306174,11.5154562044518,9.0156253063305,11.2782065040234,10.3178919266327,13.3481790030987,10.1371679977993,9.6348028176519,13.0855165696459,12.6868889856541,16.1602352303627,16.7116376825187,18.1536941044058,19.2922371328371,18.4165623171662,16.1009683734364,18.2788422411163,18.2454646776625,21.5934373801464,22.0494694654565,24.9217061219234,26.0290547061928,27.9772914503788,28.6819818254205,29.1885373432271,35.9532963558653,36.7032825642002,40.8783927338099,40.2126531713198,40.9530633673847,39.8244331104378,40.7731909369703,42.4783127290562,41.791321234603,42.944784930437,44.0094081313145,
Bangladesh,BGD,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.85,,,,,81.76,,,,24.88,21.79,21.79,21.39,21.46,19.98,18.62,15.79,15.83,14.97,15.85,14.92,14.89,14.58,15.35,14.4,,13.13,13.63,,,13.91,
Bangladesh,BGD,"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.33,,,,,85.32,,,,27.86,22.38,22.3,20.81,20.97,19.52,18.22,15.33,15.14,14.19,13.46,13.94,13.75,13.7,13.31,12.67,,11.82,12.88,,,11.96,
Bangladesh,BGD,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,19.7,,,18.2,,,,15,,,16.8,,,,13.5,,13.9,12,,,,,,
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,23053900,23716063,24400379,25115529,25873844,26680744,27547816,28463532,29382858,30245045,31010160,31656789,32207354,32719745,33276526,33937110,34722445,35614666,36587258,37597228,38613304,39627335,40650273,41692023,42768788,43890816,45061191,46270882,47503649,48737258,49955818,51151006,52326999,53495490,54674512,55876131,57101960,58344075,59593267,60836452,62062860,63271239,64460656,65621302,66741556,67813911,68833649,69804541,70738453,71652504,72559740,73463757,74362861,75258419,76150536,77039125,77925128,78809034,79689386,80572376,
Bangladesh,BGD,"Population ages 65 and above, total",SP.POP.65UP.TO,1293053,1332406,1370290,1406720,1442161,1477662,1545666,1612060,1674119,1729538,1778213,1856671,1928011,1996189,2065675,2139721,2212281,2282039,2347180,2406462,2459809,2533040,2598813,2656744,2707084,2750989,2852574,2953038,3051717,3148077,3242586,3374674,3504236,3632573,3761070,3891607,4089368,4289355,4493331,4703182,4920068,5137215,5350694,5561582,5772162,5983904,6220332,6447200,6661340,6859810,7042041,7263514,7476572,7673178,7840717,7974314,8112772,8222197,8323375,8446364,
Bangladesh,BGD,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,4.64225575716039,4.62479453268353,4.61940832387173,4.61989074568169,4.61791803197715,4.60930157684877,4.58412763407915,4.55635653368668,4.52838878125432,4.50548841967337,4.49135673654333,4.50230424499768,4.52424002294631,4.55675547643243,4.59535117868842,4.63477536716882,4.58654886851724,4.55305636694093,4.53845981024323,4.54497361055308,4.56955681107552,4.55185290658582,4.55346489045892,4.56570814832891,4.57095210919214,4.55665268462206,4.5090335616111,4.44807403706175,4.3695401168024,4.2659396226189,4.13686750159911,3.97183789448516,3.78640465177815,3.62075936456028,3.5274955906328,3.53216647136563,3.61313004363178,3.77260910696026,3.98769538868048,4.22557501461213,4.46470855743944,4.68851709912696,4.92352606051828,5.15882038301588,5.37699938216903,5.56518853484206,5.69988719033802,5.81097279012342,5.90665738628264,5.99246058438461,6.06816939988802,6.12255973855839,6.16047424324089,6.19902554469089,6.25775870293522,6.34384240839688,6.43824618086786,6.55835851729907,6.69628990340177,6.83602974527922,
Bangladesh,BGD,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,10.0446648940093,9.96039434713837,9.90469573091825,9.86212553993985,9.8123680569174,9.74882447997611,9.64809005723322,9.54173923320549,9.45468645203562,9.42608285092649,9.47810269420714,9.3088275848562,9.22767825012884,9.24572162073365,9.33819674238182,9.48235315472023,9.82990916510003,10.1932827118713,10.5374472172799,10.8317858344124,11.0625179034782,11.1752809014283,11.2466742229911,11.2838953045716,11.2995662818814,11.3032464765122,11.2420920301565,11.170647716231,11.1031259935421,11.0605093950915,11.0537415281639,11.0378535084501,11.0586750423553,11.1014365678034,11.1448731357675,11.1771731085466,11.1945933622802,11.199823913577,11.191426857141,11.1706395642323,11.1390363809185,11.0869816653828,11.024913306803,10.954811928444,10.8772278380388,10.7943412967289,10.6933625465675,10.5833770733231,10.4730338175905,10.3704555861782,10.2817676816129,10.2053552079783,10.1309717457233,10.0579665798227,9.98244169847431,9.90251058131108,9.82007151938666,9.72733412316096,9.62030472525858,9.49286444082043,
Bangladesh,BGD,Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,9.3,,,8.7,,,,10.1,,,12.8,,,,11,,,12.5,,,,,,
Bangladesh,BGD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,289.549,285.068,280.588,276.528,272.468,268.409,264.349,260.289,259.216,258.142,257.068,255.994,254.921,249.315,243.71,238.104,232.499,226.893,224.202,221.511,218.82,216.128,213.437,211.109,208.782,206.454,204.127,201.799,199.789,197.78,195.77,193.76,191.751,189.789,187.827,185.865,183.903,181.942,176.149,170.357,164.565,158.773,152.98,148.699,144.418,140.137,135.856,131.575,128.84,126.106,123.372,120.637,117.903,115.091,112.278,109.465,106.653,103.84,114.505,,
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.03999996185303,2.01999998092651,0.959999978542328,,,0.920000016689301,,2.20000004768372,,,,,2.50999999046326,,,,3.26999998092651,,,4.32000017166138,,4.25,3.58999991416931,,,5,3.38000011444092,,,4.42999982833862,,,4.34999990463257,4.36999988555908,,,
